TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Interaction,Details
8.36,1,Training,5,Shelves,Shelves,Completion,8.398057
9.74,2,1,5,Shelves,Shelves,Completion,1.366727
11.16,3,2,5,Shelves,Shelves,Completion,1.425567
12.18,4,3,5,Shelves,Shelves,Completion,1.013447
13.14,5,4,5,Shelves,Shelves,Completion,0.9747203
22.28,6,Training,5,Body,Shelves,Completion,9.133338
23.6,7,5,5,Body,Shelves,Completion,1.32119
25.36,8,6,5,Body,Shelves,Completion,1.752371
26.82,9,7,5,Body,Shelves,Completion,1.467751
28.9,10,8,5,Body,Shelves,Completion,2.076535
39.5,11,Training,5,Floor,Shelves,Completion,10.60619
40.48,12,9,5,Floor,Shelves,Completion,0.9673083
41.52,13,10,5,Floor,Shelves,Completion,1.054406
42.42,14,11,5,Floor,Shelves,Completion,0.9007984
43.44,15,12,5,Floor,Shelves,Completion,1.008227
44.24,16,Training,5,Floor,Body,Completion,0.8069001
45,17,13,5,Floor,Body,Completion,0.7604609
45.8,18,14,5,Floor,Body,Completion,0.7870114
46.8,19,15,5,Floor,Body,Completion,1.006613
47.78,20,16,5,Floor,Body,Completion,0.9797437
